timestamp,test-class,test-method,time,description,result
2021-08-25 12:42:00.319,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,2773,"[1] recordIndex=0, moment=2021/8/23 23:59, author=Juan Perez, text=hola, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 0, but found '2021/08/23 23:59'
2021-08-25 12:42:01.874,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1015,"[2] recordIndex=1, moment=2021/8/23 23:59, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 1, but found '2021/08/23 23:59'
2021-08-25 12:42:03.374,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1062,"[3] recordIndex=2, moment=2021/8/23 23:59, author=Joe Biden, text=Me aburro, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 2, but found '2021/08/23 23:59'
2021-08-25 12:42:05.167,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1139,"[4] recordIndex=3, moment=2021/8/23 23:59, author=Angela Merkel, text=Algo que decir, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 3, but found '2021/08/23 23:59'
2021-08-25 12:42:06.823,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1191,"[5] recordIndex=4, moment=2021/8/23 23:59, author=Angelina Jolie, text=NOOOOOOOO, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 4, but found '2021/08/23 23:59'
2021-08-25 12:42:08.501,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1050,"[6] recordIndex=5, moment=2021/8/23 23:59, author=Ms X, text=YES, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 5, but found '2021/08/23 23:59'
2021-08-25 12:42:09.906,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1011,"[7] recordIndex=6, moment=2021/8/23 23:59, author=Jane Doe, text=q passssa?, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 6, but found '2021/08/23 23:59'
2021-08-25 12:42:11.391,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1003,"[1] recordIndex=0, moment=2021/1/23 23:59, author=Juan Perez, text=hola, link=http://www.example.com",Expected value '' in attribute 0 of record 0, but found '2021/08/23 23:59'
2021-08-25 12:42:12.931,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1135,"[2] recordIndex=1, moment=2021/1/23 23:59, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value '' in attribute 0 of record 1, but found '2021/08/23 23:59'
2021-08-25 12:42:14.446,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1027,"[3] recordIndex=2, moment=2021/1/23 23:59, author=Joe Biden, text=Me aburro, link=null",Expected value '' in attribute 0 of record 2, but found '2021/08/23 23:59'
2021-08-25 12:42:15.87,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1051,"[4] recordIndex=3, moment=2021/1/23 23:59, author=Angela Merkel, text=Algo que decir, link=null",Expected value '' in attribute 0 of record 3, but found '2021/08/23 23:59'
2021-08-25 12:42:17.349,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1094,"[5] recordIndex=4, moment=2021/1/23 23:59, author=Angelina Jolie, text=NOOOOOOOO, link=null",Expected value '' in attribute 0 of record 4, but found '2021/08/23 23:59'
2021-08-25 12:42:18.703,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1001,"[6] recordIndex=5, moment=2021/1/23 23:59, author=Ms X, text=YES, link=http://www.example.com",Expected value '' in attribute 0 of record 5, but found '2021/08/23 23:59'
2021-08-25 12:42:20.166,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1024,"[7] recordIndex=6, moment=2021/1/23 23:59, author=Jane Doe, text=q passssa?, link=http://www.example.com",Expected value '' in attribute 0 of record 6, but found '2021/08/23 23:59'
2021-08-25 12:43:15.175,acme.testing.PanicTest,positivePanic,831,"positivePanic()",OK
2021-08-25 12:43:15.927,acme.testing.PanicTest,negativePanic,348,"negativePanic()",OK
