timestamp,simple-path,time
2021-08-25 13:48:19.551,/master/welcome,1036
2021-08-25 13:48:20.098,/master/welcome,499
2021-08-25 13:48:20.849,/master/sign-in,584
2021-08-25 13:48:22.141,/master/welcome,594
2021-08-25 13:49:17.093,/master/welcome,615
2021-08-25 13:49:17.539,/master/welcome,409
2021-08-25 13:49:18.295,/master/sign-in,598
2021-08-25 13:49:19.647,/master/welcome,603
2021-08-25 13:50:11.417,/master/welcome,681
2021-08-25 13:50:12.116,/master/welcome,671
2021-08-25 13:50:12.843,/master/sign-in,590
2021-08-25 13:50:14.146,/master/welcome,596
