timestamp,test-class,test-method,time,description,result
2021-08-25 13:01:06.242,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1311,"[1] recordIndex=0, moment=23/08/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",OK
2021-08-25 13:01:08.943,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,2329,"[2] recordIndex=1, moment=24/08/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value 'buenos días' in attribute 2 of record 1, but found 'buenos dias'
2021-08-25 13:01:10.595,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1263,"[3] recordIndex=2, moment=25/08/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",OK
2021-08-25 13:01:12.263,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1317,"[4] recordIndex=3, moment=26/08/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",OK
2021-08-25 13:01:13.884,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1278,"[5] recordIndex=4, moment=27/08/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",OK
2021-08-25 13:01:15.209,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,998,"[6] recordIndex=5, moment=28/08/2021 23:59:00, author=Ms X, text=YES, link=http://www.example.com",Expected value 'Ms X' in attribute 1 of record 5, but found 'Ms. X'
2021-08-25 13:01:16.85,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1312,"[7] recordIndex=6, moment=29/08/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",OK
2021-08-25 13:01:18.192,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1006,"[1] recordIndex=0, moment=23/01/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",Expected value '' in attribute 0 of record 0, but found '2021/08/23 23:59'
2021-08-25 13:01:19.524,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1003,"[2] recordIndex=1, moment=24/01/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value '' in attribute 0 of record 1, but found '2021/08/23 23:59'
2021-08-25 13:01:21.029,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1064,"[3] recordIndex=2, moment=25/01/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",Expected value '' in attribute 0 of record 2, but found '2021/08/23 23:59'
2021-08-25 13:01:22.43,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1026,"[4] recordIndex=3, moment=26/01/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",Expected value '' in attribute 0 of record 3, but found '2021/08/23 23:59'
2021-08-25 13:01:23.768,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,991,"[5] recordIndex=4, moment=27/01/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",Expected value '' in attribute 0 of record 4, but found '2021/08/23 23:59'
2021-08-25 13:01:25.228,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1097,"[6] recordIndex=5, moment=28/01/2021 23:59:00, author=Ms X, text=YES, link=http://www.example.com",Expected value '' in attribute 0 of record 5, but found '2021/08/23 23:59'
2021-08-25 13:01:26.607,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1017,"[7] recordIndex=6, moment=29/01/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",Expected value '' in attribute 0 of record 6, but found '2021/08/23 23:59'
2021-08-25 13:02:21.781,acme.testing.PanicTest,positivePanic,488,"positivePanic()",OK
2021-08-25 13:02:22.535,acme.testing.PanicTest,negativePanic,352,"negativePanic()",OK
